GameId,Quarter,Minute,Second,OffenseTeam,DefenseTeam,Down,ToGo,YardLine,SeriesFirstDown,Description,Yards,Formation,PlayType,IsRush,IsPass,IsIncomplete,IsTouchdown,PassType,IsSack,IsChallenge,IsInterception,IsFumble,IsPenalty,IsTwoPointConversion,IsTwoPointConversionSuccessful,RushDirection,SitID,TeamID,PlayID
2023121101,3,1,35,NYG,GB,3,7,92,1,"(1:35) (SHOTGUN) 15-T.DEVITO PASS SHORT RIGHT TO 18-I.HODGINS FOR 8 YARDS, TOUCHDOWN.",8,SHOTGUN,PASS,0,1,0,1,SHORT RIGHT,0,0,0,0,0,0,0,,130792,1,201
2023121101,3,2,19,NYG,GB,2,11,88,0,(2:19) (SHOTGUN) 26-S.BARKLEY RIGHT GUARD TO GB 8 FOR 4 YARDS (95-D.WYATT).,4,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,121188,1,102
2023121101,3,2,56,NYG,GB,1,10,89,0,(2:56) (SHOTGUN) 15-T.DEVITO UP THE MIDDLE TO GB 12 FOR -1 YARDS (97-K.CLARK).,-1,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,111089,1,103
2023121101,3,3,43,NYG,GB,1,10,64,1,(3:43) 15-T.DEVITO PASS DEEP LEFT TO 17-W.ROBINSON TO GB 11 FOR 25 YARDS (59-D.CAMPBELL). FLEA FLICKER PLAY INVOLVING #26-S.BARKLEY.,25,UNDER CENTER,PASS,0,1,0,0,DEEP LEFT,0,0,0,0,0,0,0,,111064,1,203
2023121101,3,4,29,NYG,GB,2,3,55,1,(4:29) (SHOTGUN) 31-M.BREIDA RIGHT GUARD TO GB 36 FOR 9 YARDS (20-R.FORD).,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT GUARD,120355,1,102
2023121100,2,2,28,MIA,TEN,3,15,65,0,(2:28) (SHOTGUN) 28-D.ACHANE UP THE MIDDLE TO TEN 26 FOR 9 YARDS (2-A.AL-SHAAIR).,9,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,231565,2,103
2023121100,2,4,38,MIA,TEN,2,7,56,0,(4:38) (SHOTGUN) 1-T.TAGOVAILOA PASS SHORT RIGHT TO 0-B.BERRIOS PUSHED OB AT TEN 38 FOR 6 YARDS (2-A.AL-SHAAIR) [58-H.LANDRY].,6,SHOTGUN,PASS,0,1,0,0,SHORT RIGHT,0,0,0,0,0,0,0,,220756,2,201
2023121100,2,5,25,MIA,TEN,1,10,53,0,(5:25) (SHOTGUN) 31-R.MOSTERT LEFT END TO TEN 44 FOR 3 YARDS (50-J.GIBBENS; 35-K.WALLACE).,3,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT END,211053,2,104
2023121100,2,7,41,TEN,MIA,1,1,99,0,(7:41) (NO HUDDLE) 22-D.HENRY UP THE MIDDLE TO MIA 1 FOR NO GAIN (43-A.VAN GINKEL; 21-D.ELLIOTT).,0,NO HUDDLE,RUSH,1,0,0,0,,0,0,0,0,0,0,0,CENTER,310199,3,103
2023121100,2,9,31,TEN,MIA,1,10,70,0,(9:31) 32-T.SPEARS LEFT END TO MIA 30 FOR NO GAIN (45-D.RILEY).,0,UNDER CENTER,RUSH,1,0,0,0,,0,0,0,0,0,0,0,LEFT END,311070,3,104
2023121100,2,15,0,MIA,TEN,2,9,56,0,(15:00) (SHOTGUN) 28-D.ACHANE RIGHT END TO TEN 42 FOR 2 YARDS (50-J.GIBBENS).,2,SHOTGUN,RUSH,1,0,0,0,,0,0,0,0,0,0,0,RIGHT END,220956,2,105
